,Brand_Name,Product,Rating,Total_Rating,Price,Exchange_Discount,Expected_Delivery,LINK,Extra_Details
0,AmazonBasics 127cm,AmazonBasics 127cm (50 inch) 4K Ultra HD Smart LED Fire TV AB50U20PS (Black),4 out of 5,"2,131 global ratings",not given,"Up to    5,580.00 off","Wednesday, Jan 26, 8AM-6PM",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05374748PZZ1M0KA303&url=%2FAmazonBasics-127cm-inch-Ultra-Smart%2Fdp%2FB087JYBBSR%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DTV%26qid%3D1643026327%26sr%3D8-1-spons%26psc%3D1&qualifier=1643026327&id=3209535442805930&widgetName=sp_atf,"Resolution: 4K Ultra HD (3840 x 2160) | Refresh Rate: 60 hertz | 178° wide viewing angle
Connectivity: 3 HDMI 2.0 ports to connect set top box, Blu Ray players, gaming console | 1 USB 3.0 and 1 USB 2.0 ports to connect hard drives and other USB devices | IR Port to control connected devices like Soundbars, Receivers and Set top boxes
Sound output: Inbuilt 20 Watts Powerful Speakers | Dolby Atmos
Smart TV Features: Fire TV OS | Built in Alexa and Alexa voice controls | DTH Set-Top Box Integration to switch between DTH TV Channels and OTT apps from home screen | Supported Apps: Prime Video | Netflix | Disney + Hotstar | YouTube | Apple TV | 5000+ apps from Fire OS Store | Display Mirroring | 1.95GHz Quad core processor | 1.5GB RAM/DDR
Display: A+ Grade LED panel | Dolby vision | HDR 10 + HLG | Amlogic 9th Generation Imaging Engine | Ultra bright screen | Advance picture processing | Anti-aliasing | Dynamic contrast | Dynamic backlight
Warranty Information: 2 Year Comprehensive Warranty and 3 years warranty on panel for malfunction arising from manufacturing defects
Installation/Wall mounting/demo will be arranged by Amazon Home Services. For warranty and device related issues, go to Your Orders on Amazon.in or Amazon shopping app > Locate your TV order > Select ‘Get Product Support’ and schedule a service. For any other information, please contact Amazon customer support"
1,AmazonBasics 80cm,AmazonBasics 80cm (32 inch) HD Ready Smart LED Fire TV AB32E10SS (Black) (2020 Model),4 out of 5,"2,124 global ratings",not given,"Up to    5,580.00 off","Wednesday, Jan 26, 8AM-6PM",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A059529639R8D1KRS8UXT&url=%2FAmazonBasics-80cm-inch-Smart-LED%2Fdp%2FB087JX4TT4%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DTV%26qid%3D1643026327%26sr%3D8-2-spons%26psc%3D1&qualifier=1643026327&id=3209535442805930&widgetName=sp_atf,"Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz | 178° wide viewing angle
Connectivity: 2 HDMI ports to connect set top box, Blu-Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices | IR Port to control connected devices like Soundbars, Receivers and Set top boxes
Sound output: Inbuilt 20 Watts Powerful Speakers | Dolby Audio and DTS Tru Surround
Smart TV Features: Fire TV OS | Built in Alexa and Alexa voice controls | DTH Set-Top Box Integration to switch between DTH TV Channels and OTT apps from home screen | Supported Apps: Prime Video | Netflix | Disney + Hotstar | YouTube | Apple TV | 5000+ apps from Fire OS Store | Display Mirroring | 1.5GHz Quad core processor | 1GB RAM/DDR
Display: A+ Grade LED panel | Amlogic 7th Generation Imaging Engine | Ultra bright screen | Advance picture processing | Anti-aliasing | Dynamic contrast | Dynamic backlight
Warranty Information: 2 Year Comprehensive Warranty and 3 years warranty on panel for malfunction arising from manufacturing defects
Installation/Wall mounting/demo will be arranged by Amazon Home Services. For warranty and device related issues, go to Your Orders on Amazon.in or Amazon shopping app > Locate your TV order > Select ‘Get Product Support’ and schedule a service. For any other information, please contact Amazon customer support"
2,Redmi 80,Redmi 80 cm (32 inches) HD Ready Smart LED TV | L32M6-RA (Black) (2021 Model) | With Android 11,4.3 out of 5,"16,364 global ratings",not given,"Up to    2,050.00 off","Monday, Feb 7, 8AM-5PM",https://www.amazon.in/Redmi-inches-Ready-L32M6-RA-Android/dp/B09F9YQQ7B/ref=sr_1_3?keywords=TV&qid=1643026327&sr=8-3,"Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz | 178 Degree wide viewing angle
Connectivity: 2 HDMI ports to connect set top box, Blu-Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices | 3.5mm to connect your headphones | Bluetooth 5.0 to connect Bluetooth speakers, earphones and TWS earphones
Sound: 20 Watts Powerful Stereo Speakers | Dolby Audio | DTS Virtual: X and DTS-HD | Dolby Atmos pass through ARC port
Smart TV Features : Android TV 11 | Chromecast built-in | PatchWall 4 with IMDb integration | Kids Mode with Parental Lock | 75+ Free Live Channels | Universal search | Language Universe (16+ Languages) | India's Top 10 | Miracast | Supported Apps: Prime Video | Netflix | Disney + Hotstar | YouTube | Apple TV | 5000+ apps from Play Store | Auto Low Latency Mode | Quad core processor | Dual band Wi-Fi | 1GB RAM + 8GB Storage
Display: A+ Grade LED panel | Vivid Picture Engine | Detailed Picture Controls | Ultra bright screen | Dynamic contrast | Dynamic backlight
Warranty Information: 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase
Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided"
3,OnePlus 108,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),4.2 out of 5,"30,300 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/OnePlus-inches-Smart-Android-43Y1/dp/B08B42HNH7/ref=sr_1_4?keywords=TV&qid=1643026327&sr=8-4,"Resolution: Full HD (1920x1080) | Refresh Rate: 60 hertz
Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : 20 Watts Output | Dolby Audio
Smart TV Features: Android TV 9.0 | OnePlus Connect | Google Assistant | Play Store | Chromecast | Shared Album | Supported Apps : Netflix, YouTube, Prime video | Content Calendar | OxygenPlay
Display: LED Panel | Noise Reduction | Colour Space Mapping |Dynamic Contrast | Anti-Aliasing | DCI-P3 93% colour gamut | Gamma Engine
Design: Bezel-less | Screen/Body Ratio = 88.5%
Warranty Information: 1 year comprehensive warranty + additional 1 year on panel provided by the manufacturer from date of purchase"
4,Redmi 108,Redmi 108 cm (43 inches) Full HD Smart LED TV | L43M6-RA (Black) (2021 Model) | With Android 11,4.3 out of 5,"16,364 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/Redmi-inches-Smart-L43M6-RA-Android/dp/B09G73T643/ref=sr_1_5?keywords=TV&qid=1643026327&sr=8-5,"Resolution : Full HD (1920x1080) resolution | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle
Connectivity: 2 HDMI ports to connect set top box, Blu-Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices | 3.5mm to connect your headphones | Bluetooth 5.0 to connect Bluetooth speakers, earphones and TWS earphones
Sound: 20 Watts Powerful Stereo Speakers | Dolby Audio | DTS Virtual: X and DTS-HD | Dolby Atmos pass through ARC port
Smart TV Features : Android TV 11 | Chromecast built-in | PatchWall 4 with IMDb integration | Kids Mode with Parental Lock | 75+ Free Live Channels | Universal search | Language Universe (16+ Languages) | India's Top 10 | Miracast | Supported Apps: Prime Video | Netflix | Disney + Hotstar | YouTube | Apple TV | 5000+ apps from Play Store | Auto Low Latency Mode | Quad core processor | Dual band Wi-Fi | 1GB RAM + 8GB Storage
Display: A+ Grade LED panel | Vivid Picture Engine | Detailed Picture Controls | Ultra bright screen | Dynamic contrast | Dynamic backlight
Warranty Information: 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase
Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided"
5,Mi 80,Mi 80 cm (32 inches) HD Ready Android Smart LED TV 4A PRO | L32M5-AL (Black),4.3 out of 5,"45,946 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/Mi-inches-Ready-Android-Black/dp/B084872DQY/ref=sxin_13?asc_contentid=amzn1.osa.24f7bba4-e254-4b5c-836b-022bd237b940.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.24f7bba4-e254-4b5c-836b-022bd237b940.A21TJRUUN4KGV.en_IN&creativeASIN=B084872DQY&cv_ct_cx=TV&cv_ct_id=amzn1.osa.24f7bba4-e254-4b5c-836b-022bd237b940.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=TV&linkCode=oas&pd_rd_i=B084872DQY&pd_rd_r=c7b03750-d5f2-46ad-bb3b-ade315ccfe7d&pd_rd_w=St5Cr&pd_rd_wg=zczYa&pf_rd_p=0e89a72f-7500-4160-954f-faff18efeda5&pf_rd_r=W5FAD1T95G3AWKGN9PCM&qid=1643026327&sr=1-1-61f4c597-7a45-4a97-bd75-c52903f8ee93&tag=htsyndicate-21,"Resolution: HD Ready Android TV (1366x768) | Refresh Rate: 60 hertz
Connectivity: 3 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound: 20 Watts Output | Dolby+ DTS-HD
Smart TV Features : Built-In Wi-Fi | PatchWall | Netflix | Prime Video | Disney+Hotstar and more | Android TV 9.0 | Google Assistant, WIFI：2.4GHz 802.11 b/g/n
Display : LED Panel | Vivid Picture engine
Warranty Information: 1 year warranty on product and 1 year extra on Panel
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided"
6,OnePlus 80,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black) (2020 Model),4.2 out of 5,"30,300 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sxin_13?asc_contentid=amzn1.osa.24f7bba4-e254-4b5c-836b-022bd237b940.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.24f7bba4-e254-4b5c-836b-022bd237b940.A21TJRUUN4KGV.en_IN&creativeASIN=B08B42LWKN&cv_ct_cx=TV&cv_ct_id=amzn1.osa.24f7bba4-e254-4b5c-836b-022bd237b940.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=TV&linkCode=oas&pd_rd_i=B08B42LWKN&pd_rd_r=c7b03750-d5f2-46ad-bb3b-ade315ccfe7d&pd_rd_w=St5Cr&pd_rd_wg=zczYa&pf_rd_p=0e89a72f-7500-4160-954f-faff18efeda5&pf_rd_r=W5FAD1T95G3AWKGN9PCM&qid=1643026327&sr=1-2-61f4c597-7a45-4a97-bd75-c52903f8ee93&tag=htsyndicate-21,"Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz
Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices, Dimensions(TV With Stand) - 71.3cm*20cm*46.9cm, VESA Hole Pitch - 20cm*20cm
Sound : 20 Watts Output | Dolby Audio
Smart TV Features: Android TV 9.0 | OnePlus Connect | Google Assistant | Play Store | Chromecast | Shared Album | Supported Apps : Netflix, YouTube, Prime video | Content Calendar | OxygenPlay
Display : LED Panel | Noise Reduction | Colour Space Mapping |Dynamic Contrast | Anti-Aliasing | DCI-P3 93% colour gamut | Gamma Engine
Design: Bezel-less | Screen/Body Ratio = 91.4%
Warranty Information: 1 year comprehensive warranty and additional 1 year on panel provided by the manufacturer from date of purchase"
7,Sony Bravia,Sony Bravia 108 cm (43 inches) Full HD Smart LED TV KDL-43W6603 (Black) (2020 Model),4.6 out of 5,"5,225 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/Sony-Bravia-inches-Smart-KDL-43W6603/dp/B086CGNG4T/ref=sxin_13?asc_contentid=amzn1.osa.24f7bba4-e254-4b5c-836b-022bd237b940.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.24f7bba4-e254-4b5c-836b-022bd237b940.A21TJRUUN4KGV.en_IN&creativeASIN=B086CGNG4T&cv_ct_cx=TV&cv_ct_id=amzn1.osa.24f7bba4-e254-4b5c-836b-022bd237b940.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=TV&linkCode=oas&pd_rd_i=B086CGNG4T&pd_rd_r=c7b03750-d5f2-46ad-bb3b-ade315ccfe7d&pd_rd_w=St5Cr&pd_rd_wg=zczYa&pf_rd_p=0e89a72f-7500-4160-954f-faff18efeda5&pf_rd_r=W5FAD1T95G3AWKGN9PCM&qid=1643026327&sr=1-3-61f4c597-7a45-4a97-bd75-c52903f8ee93&tag=htsyndicate-21,"Resolution: Full HD (1920x1080) | HDR
Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : 20 Watts Output | Open Baffle Speaker | ClearAudio+ technology | TV MusicBox
Smart TV Features: Smart TV | Screen Mirroring | Netflix | Amazon Prime Video | HDR Gaming
Display: HDR | X-Reality Pro | Motionflow XR 100
Warranty Information: 1 year warranty provided by the manufacture from the date of purchase
Installation: Brand will contact for installation for this product once delivered. Contact Sony for assistance @ 18001037799 and provide product's model name as well as seller's details mentioned on the invoice
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided"
8,OnePlus 80,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black) (2020 Model),4.2 out of 5,"30,300 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_6?keywords=TV&qid=1643026327&sr=8-6,"Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz
Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices, Dimensions(TV With Stand) - 71.3cm*20cm*46.9cm, VESA Hole Pitch - 20cm*20cm
Sound : 20 Watts Output | Dolby Audio
Smart TV Features: Android TV 9.0 | OnePlus Connect | Google Assistant | Play Store | Chromecast | Shared Album | Supported Apps : Netflix, YouTube, Prime video | Content Calendar | OxygenPlay
Display : LED Panel | Noise Reduction | Colour Space Mapping |Dynamic Contrast | Anti-Aliasing | DCI-P3 93% colour gamut | Gamma Engine
Design: Bezel-less | Screen/Body Ratio = 91.4%
Warranty Information: 1 year comprehensive warranty and additional 1 year on panel provided by the manufacturer from date of purchase"
9,Mi 80,Mi 80 cm (32 inches) HD Ready Android Smart LED TV 4A PRO | L32M5-AL (Black),4.3 out of 5,"45,946 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/Mi-inches-Ready-Android-Black/dp/B084872DQY/ref=sr_1_7?keywords=TV&qid=1643026327&sr=8-7,"Resolution: HD Ready Android TV (1366x768) | Refresh Rate: 60 hertz
Connectivity: 3 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound: 20 Watts Output | Dolby+ DTS-HD
Smart TV Features : Built-In Wi-Fi | PatchWall | Netflix | Prime Video | Disney+Hotstar and more | Android TV 9.0 | Google Assistant, WIFI：2.4GHz 802.11 b/g/n
Display : LED Panel | Vivid Picture engine
Warranty Information: 1 year warranty on product and 1 year extra on Panel
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided"
10,eAirtec 81,eAirtec 81 cms (32 inches) HD Ready Smart LED TV 32DJSM (Black) (2020 Model),3.9 out of 5,"3,521 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/eAirtec-inches-Ready-Smart-32DJSM/dp/B07M9K7HX8/ref=sr_1_8?keywords=TV&qid=1643026327&sr=8-8,"Resolution: HD Ready (1366 x 768p) | Refresh Rate: 60Hz
Connectivity: 1 HDMI Ports to connect set top box, Blu Ray players, gaming console and to connect to your laptop or computer as a monitor | 2 USB Ports to connect pen drives / HDD and other USB device | 1 TFT Card Input to access images, videos or songs | 1 Headphone (3.5mm) Port to connect headphones.
Sound: 20 Watts Output (10 x 2) | Virtual Sorround Sound
Display: A+ Grade IPS Panel | Premium Finish Design | Viewing Angle: 178 degrees
Smart TV Features: Android based Multi OS | Screen Mirroring | In-Built Wi-Fi | Preinstalled popular apps like Prime, Netflix, Youtube and Facebook."
11,eAirtec 102,eAirtec 102 cms (40 inches) HD Ready Smart LED TV 40DJSM (Black) (2020 Model),3.9 out of 5,"2,582 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/eAirtec-inches-Ready-Smart-40DJSM/dp/B07MNH2VR8/ref=sr_1_9?keywords=TV&qid=1643026327&sr=8-9,"Resolution: HD Ready (1366 x 768p) | Refresh Rate: 60Hz
Connectivity: 1 HDMI Ports to connect set top box, Blu Ray players, gaming console and to connect to your laptop or computer as a monitor | 2 USB Ports to connect pen drives / HDD and other USB device | 1 TFT Card Input to access images, videos or songs | 1 Headphone (3.5mm) Port to connect headphones.
Sound: 20 Watts Output (10 x 2) | Virtual Sorround Sound
Display: A+ Grade IPS Panel | Premium Finish Design | Viewing Angle: 178 degrees
Smart TV Features: Android based Multi OS | Screen Mirroring | In-Built Wi-Fi | Preinstalled popular apps like Prime, Netflix, Youtube and Facebook."
12,VW 80,VW 80 cm (32 inches) HD Ready LED Smart TV VW32S (Black) (2021 Model),4 out of 5,"2,543 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/Visio-World-inches-VW32S-Ready/dp/B07MNNH484/ref=sr_1_10?keywords=TV&qid=1643026327&sr=8-10,"Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz | Viewing Angle: 178 degrees
Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : 20 Watts output | Powerful Stereo Output | Power Audio, Music Equalizer
Display: IPE Techonology, Eco Vision, Cinema Mode, Cinema Zoom, Supports 16.7 million colours
Smart TV Features: Built-in WiFi, Android, Screen Mirroring, PC Connectivity, Wireless Headphone Control, EcoD
Warranty Information: 1 year warranty provided by Visio World from date of purchase
Installation: For requesting installation/wall mounting/demo of this product once delivered, please directly call Visio World support on 18001020777, 18001028471 and provide product's model name as well as seller's details mentioned on the invoice
Easy returns: This product is eligible for replacement/refund within 10 days of delivery in case of any product defects, damage or features not matching the description provided"
13,Samsung 80,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black) (2021 Model),4.3 out of 5,"11,644 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340BKXXL-Glossy/dp/B09F6S8BT6/ref=sr_1_11?keywords=TV&qid=1643026327&sr=8-11,"Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz
Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices
Sound : 20 Watts Output | Dolby Digital Plus
Smart TV Features : Personal Computer | Screen Share | Music System | Content Guide | Connect Share Movie
Display : LED Panel | Mega Contrast | PurColor | HD Picture Quality | Slim & Stylish Design
Warranty Information: 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoice
Installation: TV Table stand is not included in the box with this model. customer may ask for Table Top Stand or Wall Mount which will be provided to the customer at the time of installation, please directly call Samsung support on [1800407267864 / 180057267864] and provide product's model name as well as seller's details mentioned on the invoice
Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description"
14,Redmi 126,Redmi 126 cm (50 inches) 4K Ultra HD Android Smart LED TV X50|L50M6-RA (Black) (2021 Model),4.3 out of 5,"16,364 global ratings",not given,"Up to    2,050.00 off","Monday, Feb 7, 8AM-5PM",https://www.amazon.in/Redmi-inches-Ultra-Android-L50M6-RA/dp/B08Y55LPBF/ref=sr_1_12?keywords=TV&qid=1643026327&sr=8-12,"Resolution: 4K Ultra HD (3840 x 2160) | Refresh Rate: 60Hz | Viewing angle : 178 Degree
Connectivity: 3 HDML ports to connect latest gaming consoles, set top box, Blu-ray Players | 2 USB ports to connect hard drives and other USB devices | ALLM | eARC - Dolby Atmos Passthrough eARC HDMI port | Bluetooth 5.0 | Optical
Sound: 30 Watts Output | Dolby Audio | DTS Virtual: X | Dolby Atmos pass through eARC | DTS-HD
Smart TV Features : Android TV 10 | PatchWall - Kids Mode with Parental Lock | Smart Curation | Universal search | Language Universe | India's Top 10 | Okay Google | Chromecast| Suporting Apps : Netflix, Prime Video, Disney+ Hotstar, 2.4GHz/5GHz Wi-Fi 802.11 a/b/g/n/ac (2x2 MIMO)
Display: 4K LED Panel | Dolby Vision | HDR10+ | HLG | Reality Flow | Vivid Picture Engine
Warranty Information: 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase
Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided"
